t	I(t)
0.0	2.0
1.0	9.0
2.0	3.0
3.0	3.0
4.0	9.0
5.0	1.0
6.0	9.0
7.0	4.0
8.0	3.0
9.0	10.0
10.0	11.0
11.0	8.0
12.0	17.0
13.0	21.0
14.0	20.0
15.0	28.0
16.0	27.0
17.0	31.0
18.0	25.0
19.0	55.0
20.0	56.0
21.0	59.0
22.0	61.0
23.0	77.0
24.0	97.0
25.0	128.0
26.0	87.0
27.0	116.0
28.0	188.0
29.0	194.0
30.0	191.0
31.0	261.0
32.0	191.0
33.0	294.0
34.0	355.0
35.0	370.0
36.0	532.0
37.0	512.0
38.0	672.0
39.0	602.0
40.0	532.0
41.0	971.0
42.0	844.0
43.0	1012.0
44.0	1092.0
45.0	965.0
46.0	1188.0
47.0	1586.0
48.0	1575.0
49.0	1645.0
50.0	1963.0
